OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ARYABHATA,1975-033A,7752,PAY,D,IND,4/19/1975,KYMSC,2/11/1992,87.46,50.62,152,145,2.215,,EA,IMP
BHASKARA 1,1979-051A,11392,PAY,D,IND,6/7/1979,KYMSC,2/17/1989,87.35,50.63,146,140,3.6228,,EA,IMP
ROHINI 1,1980-062A,11899,PAY,D,IND,7/18/1980,SRILR,5/20/1981,87.76,44.71,178,150,1.11,,EA,IMP
SLV-3 R/B,1980-062B,11900,R/B,D,IND,7/18/1980,SRILR,7/23/1981,87.83,44.7,178,156,0.45,,EA,IMP
ROHINI 2,1981-051A,12491,PAY,D,IND,5/31/1981,SRILR,6/8/1981,87.89,46.25,197,143,1,,EA,IMP
SLV-3 R/B,1981-051B,12492,R/B,D,IND,5/31/1981,SRILR,6/6/1981,88.34,46.25,232,153,1,,EA,IMP
APPLE,1981-057B,12545,PAY,-,IND,6/19/1981,FRGUI,,1439.25,7.45,35948,35749,2,,EA,ORB
BHASKARA 2,1981-115A,12968,PAY,D,IND,11/20/1981,KYMSC,11/30/1991,87.27,50.61,144,135,2.5023,,EA,IMP
INSAT-1A,1982-031A,13129,PAY,-,IND,4/10/1982,AFETR,,1434.85,7.54,35820,35704,0.6309,,EA,ORB
ROHINI 3,1983-033A,14002,PAY,D,IND,4/17/1983,SRILR,4/19/1990,87.44,46.54,151,144,0.47,,EA,IMP
SLV-3 R/B,1983-033B,14003,R/B,D,IND,4/17/1983,SRILR,3/18/1989,87.82,46.55,180,153,1.7574,,EA,IMP
SLV-3 DEB,1983-033C,14004,DEB,D,IND,4/17/1983,SRILR,5/11/1987,88.54,46.56,216,188,0.8787,,EA,IMP
SLV-3 DEB,1983-033D,14224,DEB,D,IND,4/17/1983,SRILR,6/6/1988,88.78,46.68,221,207,0.1493,,EA,IMP
SLV-3 DEB,1983-033E,14225,DEB,D,IND,4/17/1983,SRILR,1/4/1989,88.89,46.38,224,215,0.0791,,EA,IMP
INSAT-1B,1983-089B,14318,PAY,-,IND,8/30/1983,AFETR,,1436.84,11.42,35863,35740,3.9811,,EA,ORB
SLV-3 DEB,1983-033F,14397,DEB,D,IND,4/17/1983,SRILR,2/4/1984,88.65,46.57,211,204,0.0354,,EA,IMP
IRS-1A,1988-021A,18960,PAY,-,IND,3/17/1988,TYMSC,,103.07,98.88,914,894,3.5011,,EA,ORB
INSAT-1C,1988-063A,19330,PAY,-,IND,7/21/1988,FRGUI,,1436.2,11.57,35807,35770,1.9952,,EA,ORB
INSAT-1D,1990-051A,20643,PAY,-,IND,6/12/1990,AFETR,,1435.87,14.63,35855,35709,2,,EA,ORB
IRS-1B,1991-061A,21688,PAY,-,IND,8/29/1991,TYMSC,,103.02,99.41,919,883,3.6711,,EA,ORB
INSAT-2DT (ARABSAT-1C),1992-010B,21894,PAY,-,IND,2/26/1992,FRGUI,,1459.2,14.22,36379,36096,2.5119,,EA,ORB
ASLV-D3 R/B,1992-028B,21967,R/B,D,IND,5/20/1992,SRILR,6/24/1992,87.46,46.02,154,143,0.9805,,EA,IMP
SROSS 3,1992-028A,21968,PAY,D,IND,5/20/1992,SRILR,7/14/1992,87.46,46.01,160,138,0.5946,,EA,IMP
INSAT-2A,1992-041A,22027,PAY,-,IND,7/9/1992,FRGUI,,1437.23,14.53,35859,35759,1.9952,,EA,ORB
INSAT-2B,1993-048B,22724,PAY,-,IND,7/22/1993,FRGUI,,1440.37,14.4,35950,35790,19.9526,,EA,ORB
SROSS C2,1994-027A,23099,PAY,D,IND,5/4/1994,SRILR,7/12/2001,87.32,45.98,144,140,0.6847,,EA,IMP
ASLV-D4 R/B,1994-027B,23100,R/B,D,IND,5/4/1994,SRILR,10/6/2003,87.81,45.98,167,165,1.1021,,EA,IMP
IRS-P2,1994-068A,23323,PAY,-,IND,10/15/1994,SRILR,,101.08,98.92,810,809,3.5092,,EA,ORB
IRS-P2 R/B,1994-068B,23324,R/B,,IND,10/15/1994,SRILR,,101.6,98.87,876,792,6.038,,EA,ORB
